sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.301089,Akan,middle,24456,4,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010478968651845851
1.301089,Akan,middle,25195,4,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010478968651845851
1.301089,Akan,richer,66484,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.204356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.330731818773291e-05
1.301089,Akan,middle,8883,4,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010478968651845851
1.301089,Akan,middle,23265,4,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010478968651845851
1.301089,Mole-Dagbani,middle,2543,4,"western, rural",0,0,0,0,0,0,0,1,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.00023491087055573033,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.301089,Akan,richer,90409,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.204356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.330731818773291e-05
1.301089,Akan,richer,81033,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.204356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.330731818773291e-05
1.301089,Akan,poorer,-67412,4,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.602178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0002928866912246499
1.301089,Akan,richer,98355,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.204356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.330731818773291e-05
