sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Bosnian,ethnicity_Roma,ethnicity_Serb,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.3517547241737478,Serb,poorest,-0.39058805937997687,22.0,1.0,0,0,1,1,0,0,0,0,1.0,0.3517547241737478,-0.0,-0.0,-0.0002573469337952564
0.3517547241737478,Serb,richest,0.8308260322340435,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
0.3517547241737478,Serb,richest,0.8308260322340435,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
0.3517547241737478,Serb,richest,0.8308260322340435,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
0.3517547241737478,Serb,richest,0.6857312132105466,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
2.0533977356168935,Roma,middle,0.21310251094426128,22.0,1.0,0,1,0,0,0,1,0,0,3.0,6.16019320685068,0.04067251802276639,0.0,-0.0
2.0533977356168935,Roma,middle,0.21310251094426128,22.0,1.0,0,1,0,0,0,1,0,0,3.0,6.16019320685068,0.04067251802276639,0.0,-0.0
0.5028493670574712,Serb,richer,0.6120835606150239,23.0,1.0,0,0,1,0,0,0,1,0,4.0,2.0113974682298847,0.0,0.0,9.654042473660622e-05
0.5028493670574712,Serb,richest,0.9101315479762987,23.0,1.0,0,0,1,0,0,0,0,1,5.0,2.5142468352873557,0.0,0.0,0.00025135027946488115
0.5028493670574712,Serb,middle,0.2768272434239707,23.0,1.0,0,0,1,0,0,1,0,0,3.0,1.5085481011724136,0.0,0.0,-5.8269429991668743e-05
0.5028493670574712,Serb,richer,0.6180759581991415,23.0,1.0,0,0,1,0,0,0,1,0,4.0,2.0113974682298847,0.0,0.0,9.654042473660622e-05
