sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Albanian,ethnicity_Macedonian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.794362624495327,Macedonian,poorer,-0.07654942823915978,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,-0.07654942823915978,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,-0.07654942823915978,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorest,-0.9003298692252628,59.0,5.0,0,1,1,0,0,0,0,1.0,0.794362624495327,-0.0,-0.00019762113997969386
0.794362624495327,Macedonian,poorest,-0.9003298692252628,59.0,5.0,0,1,1,0,0,0,0,1.0,0.794362624495327,-0.0,-0.00019762113997969386
0.17191605320068987,Macedonian,middle,0.47163695676346484,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.47163695676346484,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.47163695676346484,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
1.1650651825931462,Macedonian,richest,1.197769740881074,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,1.197769740881074,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,1.197769740881074,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
0.17191605320068987,Macedonian,middle,0.5380263733177024,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.5380263733177024,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.5380263733177024,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.5380263733177024,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
1.1650651825931462,Macedonian,poorer,-0.25006967747918396,60.0,5.0,0,1,0,1,0,0,0,2.0,2.3301303651862924,-0.0,-0.00016438613369787835
1.1650651825931462,Macedonian,poorer,-0.25006967747918396,60.0,5.0,0,1,0,1,0,0,0,2.0,2.3301303651862924,-0.0,-0.00016438613369787835
0.17191605320068987,Macedonian,middle,0.5568423816804458,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.5568423816804458,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.5568423816804458,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
0.17191605320068987,Macedonian,middle,0.5568423816804458,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
1.1650651825931462,Macedonian,poorest,-0.44683438395731345,60.0,5.0,0,1,1,0,0,0,0,1.0,1.1650651825931462,-0.0,-0.0002898443386368843
1.1650651825931462,Macedonian,poorest,-0.44683438395731345,60.0,5.0,0,1,1,0,0,0,0,1.0,1.1650651825931462,-0.0,-0.0002898443386368843
0.17191605320068987,Macedonian,richer,0.6944987450413751,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6944987450413751,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6944987450413751,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6944987450413751,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6944987450413751,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6944987450413751,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
1.1650651825931462,Macedonian,richest,1.0717404704377764,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,1.0717404704377764,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,1.0717404704377764,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,1.0717404704377764,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
0.17191605320068987,Macedonian,richer,0.6388969412824033,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6388969412824033,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6388969412824033,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6388969412824033,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
1.1650651825931462,Macedonian,middle,0.5554070330299876,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.5554070330299876,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.5554070330299876,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
