sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Chinese-Tibetan,ethnicity_Hmong-Mien,ethnicity_Lao-Tai,ethnicity_Mon-Khmer,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
1.6617014843475033,Lao-Tai,richest,1.7552236654734537,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7757622569382372,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7757622569382372,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7660488697160872,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7660488697160872,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.6398341836816663,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.6398341836816663,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.770929808744068,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.568434126279456,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.4899213314321151,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.4899213314321151,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.71341232965628,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.790370699937001,Lao-Tai,richest,1.638832153475819,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
