sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Kyrgyz,ethnicity_Russian,ethnicity_Uzbek,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.3368653282897385,Kyrgyz,poorest,-1.0787222444458613,114.0,8.0,1,0,0,1,0,0,0,0,1.0,0.3368653282897385,-0.0,-0.00016439867875675616,-0.0
0.3368653282897385,Kyrgyz,richer,0.07720797900477433,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richer,0.17198175163157953,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richer,0.15580405147558857,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richer,0.15580405147558857,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richest,0.6791993505973857,114.0,8.0,1,0,0,0,0,0,0,1,5.0,1.6843266414486924,0.0,0.00014859778422180483,0.0
0.3368653282897385,Kyrgyz,middle,-0.2756809318318079,114.0,8.0,1,0,0,0,0,1,0,0,3.0,1.0105959848692154,0.0,-7.900447267475661e-06,-0.0
0.3368653282897385,Kyrgyz,richer,-0.07850988748011678,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,middle,-0.32563052392574493,114.0,8.0,1,0,0,0,0,1,0,0,3.0,1.0105959848692154,0.0,-7.900447267475661e-06,-0.0
0.3368653282897385,Kyrgyz,richest,0.49637718019757565,114.0,8.0,1,0,0,0,0,0,0,1,5.0,1.6843266414486924,0.0,0.00014859778422180483,0.0
0.3368653282897385,Kyrgyz,poorest,-1.2138359677510242,114.0,8.0,1,0,0,1,0,0,0,0,1.0,0.3368653282897385,-0.0,-0.00016439867875675616,-0.0
0.3368653282897385,Kyrgyz,poorest,-1.2138359677510242,114.0,8.0,1,0,0,1,0,0,0,0,1.0,0.3368653282897385,-0.0,-0.00016439867875675616,-0.0
0.3368653282897385,Kyrgyz,richer,0.4716502479646864,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richer,0.4716502479646864,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richer,-0.0922650957621085,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,richer,-0.0922650957621085,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.313897237724529,Kyrgyz,poorer,-0.7646718470936409,115.0,8.0,1,0,0,0,1,0,0,0,2.0,0.627794475449058,-0.0,-8.027572917038072e-05,-0.0
0.313897237724529,Kyrgyz,richer,0.26501371651500777,115.0,8.0,1,0,0,0,0,0,1,0,4.0,1.255588950898116,0.0,6.555216835372153e-05,-0.0
0.313897237724529,Kyrgyz,richer,0.16928161520163837,115.0,8.0,1,0,0,0,0,0,1,0,4.0,1.255588950898116,0.0,6.555216835372153e-05,-0.0
0.313897237724529,Kyrgyz,richest,0.5711085047603275,115.0,8.0,1,0,0,0,0,0,0,1,5.0,1.569486188622645,0.0,0.00013846611711577266,0.0
0.313897237724529,Kyrgyz,richest,0.5711085047603275,115.0,8.0,1,0,0,0,0,0,0,1,5.0,1.569486188622645,0.0,0.00013846611711577266,0.0
0.313897237724529,Kyrgyz,richer,0.27119446885604875,115.0,8.0,1,0,0,0,0,0,1,0,4.0,1.255588950898116,0.0,6.555216835372153e-05,-0.0
0.313897237724529,Kyrgyz,poorer,-0.5415157056740232,115.0,8.0,1,0,0,0,1,0,0,0,2.0,0.627794475449058,-0.0,-8.027572917038072e-05,-0.0
0.313897237724529,Kyrgyz,poorer,-0.6490196495361713,115.0,8.0,1,0,0,0,1,0,0,0,2.0,0.627794475449058,-0.0,-8.027572917038072e-05,-0.0
0.313897237724529,Kyrgyz,poorer,-0.6490196495361713,115.0,8.0,1,0,0,0,1,0,0,0,2.0,0.627794475449058,-0.0,-8.027572917038072e-05,-0.0
